permutacion,f1_macro_nulo
789,0.25082263730715054
790,0.24729261524877463
791,0.24953648448474286
792,0.2541483423126424
793,0.2457917694860145
794,0.2469335147819103
795,0.24662581174519674
796,0.2540547278720006
797,0.2520710411472058
798,0.24751301724241503
799,0.251707421264866
800,0.24965821515713305
801,0.24639818964777105
802,0.25312372184991244
803,0.2506688216526168
804,0.25728418700605005
805,0.2496547098177722
806,0.24579244615049253
807,0.2511760969679213
808,0.24611355267499238
809,0.2469335841831037
810,0.25053932692356323
811,0.2469475280550268
812,0.2466318813136604
813,0.25263696652290246
814,0.25146576463198944
815,0.24812466592000484
816,0.25546562678096946
817,0.24721161899387606
818,0.2506684355285836
819,0.24754122450234692
820,0.2404459516963254
821,0.24961398656402284
822,0.2506735286249814
823,0.24988381538811688
824,0.24794829250523825
825,0.24877243075081723
826,0.25158897380820816
827,0.2462442391242474
828,0.24803750710666223
829,0.24676855615080018
830,0.24555926753642404
831,0.2512423582973441
832,0.24778181758738493
833,0.2542224254111126
834,0.2551036928489977
835,0.24727448506803604
836,0.24593787969928055
837,0.2523898770786308
838,0.24931111171805764
839,0.24548072801033488
840,0.251465901342184
841,0.24756400884695873
842,0.24740042790908678
843,0.2494253973576983
844,0.24766964238552167
845,0.2549701887680098
846,0.24795092340460703
847,0.25521388353748026
848,0.24622778115269447
849,0.25148983204753617
850,0.25080049658529685
851,0.24852252164781818
852,0.24779544336149759
853,0.24991526363628383
854,0.24834822592220246
855,0.24308869206908648
856,0.24644508510505192
857,0.24385227313463792
858,0.25213960909970295
859,0.24341380982883104
860,0.2452705438531475
861,0.2493850962839196
862,0.23806169198579744
863,0.25313796845942943
864,0.24342397586710754
865,0.2536104649797734
866,0.24901587117254045
867,0.2518521897496957
868,0.24638818875697435
869,0.24346420539903016
870,0.25019484745296927
871,0.25166799627032627
872,0.25027934538791136
873,0.24906844561350117
874,0.25099628955369224
875,0.25149788312208693
876,0.24667821208079588
877,0.2510675371179547
878,0.24577279767910803
879,0.24894948033788988
880,0.24943797881931226
881,0.247036930656482
882,0.24554185223985547
883,0.2508685793728127
884,0.25246831635149913
885,0.2448560496812667
886,0.24572943890538734
887,0.25929860562521684
888,0.24539223839803784
889,0.25547173565100245
890,0.24987832274905342
891,0.25408169044054163
892,0.24783547071542916
893,0.24803667569275467
894,0.2430965902354123
895,0.24950130299613898
896,0.25429866139990726
897,0.24825535552023753
898,0.24851756695913552
899,0.24761251527848377
900,0.2473185975976428
901,0.24982408109108933
902,0.2522293355504782
903,0.25240612415549524
904,0.2491808211521508
905,0.2489296573733962
